epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,500.381,0.53947,0.8227,1.01606,0.73577,0.75277,0.80893,0.74084,0.41008,0.76082,0.91044,7.30541e-05,7.30541e-05,7.30541e-05
41,512.584,0.5494,0.84195,1.02456,0.72933,0.77339,0.81848,0.74756,0.41362,0.76693,0.90915,7.1876e-05,7.1876e-05,7.1876e-05
42,525.052,0.54481,0.82103,1.02456,0.7681,0.73084,0.81315,0.7401,0.41555,0.77176,0.91892,7.06979e-05,7.06979e-05,7.06979e-05
43,537.294,0.53751,0.83618,1.02326,0.72988,0.75453,0.81108,0.74151,0.40286,0.79117,0.90375,6.95198e-05,6.95198e-05,6.95198e-05
44,549.584,0.53601,0.80546,1.01707,0.69006,0.80072,0.81685,0.75073,0.40606,0.78962,0.90402,6.83417e-05,6.83417e-05,6.83417e-05
45,562.164,0.54079,0.81754,1.02269,0.6913,0.77376,0.81874,0.75279,0.39958,0.77699,0.90391,6.71636e-05,6.71636e-05,6.71636e-05
46,574.426,0.53396,0.80555,1.01771,0.77259,0.71364,0.81788,0.74764,0.3987,0.79019,0.90582,6.59855e-05,6.59855e-05,6.59855e-05
47,586.644,0.53355,0.80507,1.02173,0.74172,0.74764,0.81484,0.75051,0.40116,0.77246,0.90669,6.48074e-05,6.48074e-05,6.48074e-05
48,599.262,0.53445,0.81524,1.01797,0.71443,0.74115,0.8051,0.73838,0.39935,0.76486,0.90608,6.36293e-05,6.36293e-05,6.36293e-05
49,611.421,0.52788,0.78141,1.01397,0.70686,0.75023,0.80897,0.74033,0.39454,0.75368,0.90084,6.24512e-05,6.24512e-05,6.24512e-05
50,623.871,0.52224,0.7756,1.00782,0.72844,0.73205,0.80868,0.74207,0.40413,0.75859,0.90966,6.12731e-05,6.12731e-05,6.12731e-05
51,636.037,0.54326,0.81202,1.02665,0.70818,0.75744,0.80846,0.73971,0.4078,0.74735,0.91552,6.0095e-05,6.0095e-05,6.0095e-05
52,648.22,0.53919,0.81433,1.01724,0.71016,0.75832,0.80923,0.73905,0.4021,0.7658,0.90758,5.89169e-05,5.89169e-05,5.89169e-05
53,660.862,0.52376,0.78704,1.01132,0.73171,0.74442,0.81171,0.74188,0.40079,0.76404,0.90685,5.77388e-05,5.77388e-05,5.77388e-05
54,673.125,0.52988,0.78434,1.01636,0.69889,0.77178,0.80505,0.74568,0.39159,0.76741,0.90167,5.65607e-05,5.65607e-05,5.65607e-05
